hide	(⊃‿⊂)
hide	|_・)
hide	|･ω･｀)
hide	｜−・;）
hide	|ω・）
hide	|ω･)و ̑̑༉
hide	( ͒•·̫|
hide	┬┴┬┴┤(･_├┬┴┬┴
hide	ﾍ(･_|
hide	|₋ॢọ̶̶̷̥᷅๑)‧˚⁺
hide wave	川o･-･)ﾉ
hide	┻┳|･ω･)
hide wave	┻┳|･ω･)ﾉ
hide	(*σᴗσ)(ㅎᴗㅎ )　｜‸눈;)
hide	| ू•ૅω•́)ᵎᵎᵎ
bird	（・⊝・）
bird	（・⊝・∞）
bird	（・θ・）
bird	（＠◇＠）
bird	(•∋•)
bird	（`･⊝･´ ）
bird	(`･⊝･´)
bird	(｀Θ´)
bird	(°<°)
bird	（ﾟ∈ﾟ）
bird	(◉Θ◉)
bird	(●∈∋●)
bird	<（ё）>
bird	~~……ヾლ∩з…….~~
bird	⊹⋛⋋( ՞ਊ ՞)⋌⋚⊹
bird	◎▼◎
bird	ˏ₍•ɞ•₎ˎ
bird	ˎ₍•ʚ•₎ˏ
bird love	♡(㋭ ਊ ㋲)♡
bird	꜀( ˊ̠˂˃ˋ̠ )꜆
bird	ꉂ (๑¯ਊ¯)σ
table flip	(╯°□°）╯︵ ┻━┻
table flip	┬──┬◡ﾉ(° -°ﾉ)
table flip	(╯°Д°）╯︵/(.□ . \)
table flip	(ノಠ益ಠ)ノ彡┻━┻
table flip	(ノಠ ∩ಠ)ノ彡( \o°o)\
table flip	(╯°□°)╯︵ ʞooqǝɔɐℲ
table flip	ノ┬─┬ノ ︵ ( \o°o)\
table flip	/( .□.)\ ︵╰(゜益゜)╯︵ /(.□. /)
table flip love	(∿°○°)∿ ︵ ǝʌol
table flip animal	ʕノ•ᴥ•ʔノ ︵ ┻━┻
table flip	(/¯◡ ‿ ◡)/¯ ~ ┻━┻
table flip	( ｀o)ﾉﾉ ┫
table flip	( ﾉo|o)ﾉ ┫｡ﾟ:.:
table flip	（；－－）ノノ ┫：・゜’
table flip	(/-o-)/ ⌒ ┤
table flip	(/#-_-)/~┻┻〃
table flip	(/｀ο´)/ ⌒ ┫:’ﾟ:｡･,. 。゜
table flip	（/＞□＜）/亠亠
table flip	(/ToT)/ ~┻┻
table flip	(/ToT)/_┫・..
table flip	(ノ ﾟДﾟ)ノ　＝＝＝＝　┻━━┻
table flip	(ノ-_-)ノ ~┻━┻
table flip	(ノ-_-)ノ ~┻━┻ (/o＼)
table flip	(ﾉ-_-)ﾉ ~┻━┻ ☆`
table flip	(ノ－＿－）ノ　┫〝〟∵
table flip	（ノ－＿－）ノ・・・~~~┻┻
table flip	(ノ-_-)ノ・・・~~┻━┻
table flip	（ノ－＿－）ノ･･･~┻┻
table flip	(ノ-_-)ノ~┻━┻
table flip	(ノ-。-）ノ┻━┻☆(　　^)
table flip	(ノ-0-)ノ　┫∵：．
table flip	（ノ－ｏ－）ノ　”″┻━┻☆（>○<）
